CustomerId,Date,Amount,Description
3,9/05/2016 1:26:54 PM,-13.94,SIT MAURIS IPSUM SIT
23,16/06/2016 9:28:47 PM,-13.17,PULVINAR QUISQUE AUGUE
23,4/06/2016 12:14:32 AM,-13.99,NEC
33,1/06/2016 9:28:47 PM,-13.17,TEST AFTERNOONPERSON
33,2/06/2016 1:00:32 PM,-13.99,TEST AFTERNOONPERSON
33,3/06/2016 9:28:47 PM,-13.17,TEST AFTERNOONPERSON
33,7/06/2016 9:28:47 AM,-13.17,TEST AFTERNOONPERSON
33,8/06/2016 12:14:32 AM,-13.99,TEST AFTERNOONPERSON
33,16/07/2016 9:28:47 PM,-13.17,TEST AFTERNOONPERSON
33,4/07/2016 12:14:32 AM,-13.99,TEST AFTERNOONPERSON
44,16/07/2016 9:28:47 PM,-1300.17,TEST BIG TICKET SPENDER
44,4/07/2016 12:14:32 AM,-13.99,TEST BIG TICKET SPENDER
44,16/08/2016 9:28:47 PM,1300.17,TEST BIG TICKET SPENDER
44,4/08/2016 12:14:32 AM,-13.99,TEST BIG TICKET SPENDER
55,4/06/2016 11:14:32 AM,-13.99,TEST MORNING PERSON
55,4/06/2016 12:01:00 PM,-13.99,TEST MORNING PERSON
55,4/06/2016 1:01:00 PM,-13.99,TEST MORNING PERSON
56,4/06/2016 11:01:00 AM,-13.99,TEST MORNING PERSON
56,4/06/2016 9:01:00 AM,-13.99,TEST MORNING PERSON
56,4/06/2016 8:01:00 AM,-13.99,TEST MORNING PERSON
56,4/06/2016 9:01:00 PM,-13.99,TEST MORNING PERSON
56,4/06/2016 8:01:00 PM,-13.99,TEST MORNING PERSON
57,4/06/2016 8:01:00 AM,-13.99,TEST MORNING PERSON
57,4/06/2016 9:01:00 PM,-13.99,TEST MORNING PERSON
57,4/06/2016 8:01:00 PM,-13.99,TEST MORNING PERSON
66,4/06/2016 9:01:00 PM,50.00,TEST DEPOSIT AMOUNT
66,4/06/2016 8:01:00 PM,50.00,TEST DEPOSIT AMOUNT
66,4/06/2016 8:01:00 PM,-150.00,TEST DEPOSIT AMOUNT
67,4/06/2016 8:01:00 PM,-50.00,TEST EXPENSE AMOUNT
67,4/06/2016 8:01:00 PM,-50.00,TEST EXPENSE AMOUNT
70,4/06/2016 8:01:00 PM,50.00,POTENTIAL SAVER
70,4/06/2016 8:01:00 PM,50.00,POTENTIAL SAVER
70,4/06/2016 8:01:00 PM,-14.00,POTENTIAL SAVER
70,4/06/2016 8:01:00 PM,-10.00,POTENTIAL SAVER
71,4/06/2016 8:01:00 PM,-25.00,POTENTIAL SAVER
71,4/06/2016 8:01:00 PM,100.00,POTENTIAL SAVER
80,4/06/2016 8:01:00 PM,-100.00,CURRENT BALANCE
80,4/08/2016 8:01:00 PM,200.00,CURRENT BALANCE
